"x","y","z"
1,1,557.643704199085
1,2,129.023719630537
1,3,256.040487312231
1,4,94.722487491978
1,5,176.336285840475
1,6,241.793639709221
1,7,372.551805683968
1,8,268.668652071104
1,9,594.530894587193
1,10,1090.60601595638
1,11,332.60251223913
1,12,133.517901982522
1,13,664.812996503536
1,14,785.160507849311
1,15,486.709300516532
1,16,400.372577399967
1,17,117.265031037821
1,18,217.08807830177
1,19,415.449236097944
1,20,335.754903579281
2,1,116.987918073152
2,2,273.059963243513
2,3,412.120667276289
2,4,201.23545436872
2,5,229.023667232065
2,6,191.747597354231
2,7,187.256456716416
2,8,714.290618438904
2,9,304.705179075573
2,10,381.666311118469
2,11,217.055920843542
2,12,157.812907457823
2,13,336.854409205053
2,14,1227.13256688753
2,15,371.509406228247
2,16,563.48456852507
2,17,794.60841099887
2,18,566.817030697815
2,19,257.266193811588
2,20,495.464187988899
3,1,257.861706789395
3,2,315.318204472628
3,3,271.005364433154
3,4,195.121740335941
3,5,178.8593099056
3,6,298.511907472375
3,7,129.112483705814
3,8,168.166340739122
3,9,157.039795512807
3,10,578.42432508497
3,11,248.202162869531
3,12,400.559767029242
3,13,1008.86016191283
3,14,515.647705538712
3,15,306.714373052545
3,16,758.477732956438
3,17,17092.1885448426
3,18,643.943811035067
3,19,346.932996041013
3,20,232.579717237529
4,1,463.746916199578
4,2,335.612049321902
4,3,554.631110136419
4,4,151.089017064071
4,5,244.657493220376
4,6,421.325588700159
4,7,243.820934942376
4,8,145.616194530569
4,9,382.773116037981
4,10,138.280155495275
4,11,398.782065121008
4,12,300.449959110505
4,13,372.412727164999
4,14,1162.61723834767
4,15,173.977431306875
4,16,798.421838134504
4,17,1393.35691654681
4,18,717.743816869419
4,19,209.864064350955
4,20,884.510634870825
5,1,644.104744316411
5,2,274.035326791657
5,3,1165.89843534441
5,4,172.373386034539
5,5,328.300936689937
5,6,1039.98706534983
5,7,667.450473151744
5,8,151.58702492703
5,9,183.383718370094
5,10,435.998075901012
5,11,341.464881683607
5,12,4136.09003184884
5,13,319.562123600529
5,14,268.806031044934
5,15,386.097437993969
5,16,463.216341475941
5,17,438.06293422567
5,18,1190.64890230217
5,19,330.663936735893
5,20,244.777004871875
6,1,168.247069462179
6,2,2711.52497414879
6,3,708.609065060849
6,4,236.428745623832
6,5,235.366456990352
6,6,397.560176440398
6,7,182.451978643419
6,8,625.966467109373
6,9,314.458353104247
6,10,289.787885713327
6,11,403.563127558759
6,12,274.901168151719
6,13,596.005886802853
6,14,309.885272981143
6,15,822.331071479405
6,16,433.40834046755
