"X","Y","Z"
0.5,0.5,1080.76662337802
0.5,1.5,762.034004991509
0.5,2.5,611.443841940663
0.5,3.5,541.645738559956
0.5,4.5,508.445615211379
0.5,5.5,489.686328709893
0.5,6.5,474.547763245889
0.5,7.5,458.168085164645
0.5,8.5,438.923691452122
0.5,9.5,417.032663292941
0.5,10.5,393.837726968543
0.5,11.5,371.469348629316
0.5,12.5,352.746082057578
0.5,13.5,341.218906123389
0.5,14.5,341.24405812893
0.5,15.5,357.884206950418
0.5,16.5,396.30293069461
0.5,17.5,460.203935173375
0.5,18.5,548.994713749808
1.5,0.5,1042.53048060506
1.5,1.5,793.349119431755
1.5,2.5,675.476210555774
1.5,3.5,622.062023111002
1.5,4.5,596.989736509754
1.5,5.5,581.353217434493
1.5,6.5,565.749000308391
1.5,7.5,546.089748039716
1.5,8.5,521.324415779104
1.5,9.5,492.149577577538
1.5,10.5,460.252581903324
1.5,11.5,427.872548179773
1.5,12.5,397.571895034724
1.5,13.5,372.138249315158
1.5,14.5,354.520840791681
1.5,15.5,347.667014738647
1.5,16.5,354.085373207859
1.5,17.5,374.973223858057
1.5,18.5,408.905420182954
2.5,0.5,980.037764837098
2.5,1.5,820.53670820979
2.5,2.5,746.933824591291
2.5,3.5,716.236438164354
2.5,4.5,702.556001589238
2.5,5.5,691.346387046578
2.5,6.5,675.207427323096
2.5,7.5,651.22322856359
2.5,8.5,619.267968475096
2.5,9.5,580.860082602813
2.5,10.5,538.361548857254
2.5,11.5,494.442303683314
2.5,12.5,451.762496367993
2.5,13.5,412.812347192292
2.5,14.5,379.826747436638
2.5,15.5,354.676191724253
2.5,16.5,338.63789002405
2.5,17.5,331.991099010872
2.5,18.5,333.488550186561
3.5,0.5,937.978559304103
3.5,1.5,863.020180747943
3.5,2.5,835.47181118665
3.5,3.5,830.27045720204
3.5,4.5,830.001677731995
3.5,5.5,823.96497157049
3.5,6.5,806.71099725882
3.5,7.5,776.709845910757
3.5,8.5,735.141628061019
3.5,9.5,684.786288648246
3.5,10.5,629.090260825485
3.5,11.5,571.497844654948
3.5,12.5,515.064973329799
3.5,13.5,462.297206777076
3.5,14.5,415.115246832473
