"X","Y","Z"
0,0,13990.9050741577
0,1,11068.3747473229
0,2,8473.7176946266
0,3,6449.12923382413
0,4,4898.53833005178
0,5,3717.43382815284
0,6,2819.76911183628
0,7,2138.27258688722
0,8,1621.20657766938
0,9,1229.04660621556
0,10,931.695605107269
0,11,706.274997457585
0,12,535.411029391752
0,13,405.91857915161
0,14,307.795442272249
0,15,233.456056064731
0,16,177.148649153905
0,17,134.512376990989
0,18,102.241052731714
1,0,13657.6900087396
1,1,10946.0834180729
1,2,8415.72327161627
1,3,6417.45810793266
1,4,4879.84610791057
1,5,3705.86413558961
1,6,2812.3793416881
1,7,2133.45007419067
1,8,1618.01382784616
1,9,1226.91541345589
1,10,930.271068863126
1,11,705.330636095649
1,12,534.800235556492
1,13,405.545757221341
1,14,307.598298109678
1,15,233.394432452827
1,16,177.197307266456
1,17,134.656202228661
1,18,102.471767330714
2,0,10685.7091630437
2,1,9330.88010627467
2,2,7546.28622961393
2,3,5917.02227471415
2,4,4576.23256006119
2,5,3514.5999303511
2,6,2688.55114371979
2,7,2051.62356397715
2,8,1563.08526782664
2,9,1189.58690701421
2,10,904.657688169007
2,11,687.625696756492
2,12,522.49849407765
2,13,396.975612020341
2,14,301.632140229465
2,15,229.265142125326
2,16,174.379732797649
2,17,132.789320913705
2,18,101.306789422133
3,0,8166.83729055125
3,1,7447.77544892823
3,2,6317.16840775212
3,3,5134.06957076225
3,4,4073.1061284952
3,5,3186.1896102798
3,6,2470.8549748344
3,7,1905.35643362333
3,8,1463.68248015983
3,9,1121.38674686941
3,10,857.496837546246
3,11,654.807345390957
3,12,499.552422965118
3,13,380.885329442756
3,14,290.34383655879
3,15,221.370383038386
3,16,168.907337806245
3,17,129.067019096142
3,18,98.8681135140833
4,0,6212.49424561414
4,1,5799.35910186503
4,2,5088.69668815048
4,3,4271.4605465533
4,4,3480.76118391015
4,5,2781.50101356856
4,6,2193.78503391947
4,7,1714.73551671496
4,8,1331.7956917442
4,9,1029.62944638338
4,10,793.33614743163
4,11,609.750757343712
4,12,467.807805001656
4,13,358.47753625502
4,14,274.52949619738
4,15,210.247440450147
4,16,161.152449500526
4,17,123.757455299622
4,18,95.3599190712295
5,0,4718.22041225446
5,1,4467.31071091364
5,2,4013.41704975378
5,3,3457.73718796187
5,4,2887.19818410312
5,5,2356.68604353289
5,6,1892.41206767583
5,7,1501.62564217701
5,8,1181.14231947369
5,9,923.002512028012
5,10,717.735452694665
5,11,556.052264651197
5,12,429.616055973675
5,13,331.30716501932
5,14,255.230809060147
5,15,196.605984652811
5,16,151.610313922851
5,17,117.21899787688
5,18,91.0558217865213
6,0,3580.9483309499
6,1,3422.57036143053
6,2,3127.10732668464
6,3,2749.69860653782
6,4,2344.39732171936
6,5,1951.43125689474
6,6,1594.73762892034
6,7,1285.0758808687
6,8,1024.47255738703
6,9,809.990305939876
6,10,636.338956205891
6,11,497.477634868248
6,12,387.502425479298
6,13,301.0796765631
6,14,233.611124029976
6,15,181.251443308064
6,16,140.851706729115
6,17,109.871361298817
6,18,86.2822082651393
7,0,2717.12477162346
7,1,2614.30656120688
7,2,2418.62321615246
7,3,2161.11084519286
7,4,1875.0150315922
7,5,1588.0322922189
7,6,1319.16023501116
7,7,1079.04280731146
7,8,871.909534983701
7,9,697.756396995307
7,10,554.148550949506
7,11,437.496765410879
7,12,343.869686430504
7,13,269.462466801797
7,14,210.835235897081
7,15,165.008319897607
7,16,129.474238498173
7,17,102.165276448753
7,18,81.4004342152608
8,0,2061.74753716918
8,1,1993.53832066657
8,2,1861.99562646895
8,3,1685.1244241978
8,4,1483.45183489136
8,5,1275.52250530649
8,6,1075.40392299044
8,7,892.137142272428
8,8,730.395853573725
8,9,591.613232113989
8,10,475.105017614353
8,11,378.979013648529
8,12,300.78549362798
8,13,237.939760646349
8,14,187.971644579764
8,15,148.65497033375
8,16,118.059355193254
8,17,94.5548940253174
8,18,76.7903488452781
9,0,1564.94048820476
9,1,1518.87731321321
9,2,1429.30516208138
9,3,1306.94807031187
9,4,1164.6014952632
9,5,1014.54367735986
9,6,866.813521274082
9,7,728.518077557285
9,8,603.925774318465
9,9,494.983778996434
9,10,401.963859872878
9,11,324.060936196128
9,12,259.869411003884
9,13,207.724731466108
9,14,165.927484672243
9,15,132.876870494205
9,16,107.139633415926
9,17,87.4757603057738
9,18,72.8367479266795
10,0,1188.66704966298
10,1,1157.06075718327
10,2,1095.36125272831
10,3,1010.10087585235
10,4,909.345876569522
10,5,801.202483858572
10,6,692.692564970194
10,7,589.162296470716
10,8,494.166894179
10,9,409.669223298613
10,10,336.385359692089
10,11,274.155252282057
10,12,222.269892401964
10,13,179.72768084437
10,14,145.417807363419
10,15,118.240543375776
10,16,97.178142272873
10,17,81.3294743711388
10,18,69.9191788342958
11,0,904.024943900693
11,1,881.999198318351
11,2,839.036996056808
11,3,779.192379547253
11,4,707.607146295283
11,5,629.640292845999
11,6,550.151779965517
11,7,473.059599791414
11,8,401.17499770324
11,9,336.249391273483
11,10,279.145029429022
11,11,230.053150331792
11,12,188.708082932676
11,13,154.569773810853
11,14,126.964807435365
11,15,105.186452941677
11,16,88.5591838084629
11,17,76.474486582076
11,18,68.4042714165439
12,0,689.126378875677
12,1,673.528497702184
12,2,643.295331581163
12,3,600.979185682421
12,4,549.889164067458
12,5,493.578642154634
12,6,435.394122548083
12,7,378.163376434625
12,8,324.042774044483
12,9,274.500253299271
12,10,230.390206061739
12,11,192.075735252051
12,12,159.563478242944
12,13,132.628770298999
12,14,110.919807935025
12,15,94.0370183652294
12,16,81.5881298106577
12,17,73.2212654580774
12,18,68.6386687254748
13,0,527.479274306759
13,1,516.256471117055
13,2,494.766681574673
13,3,464.628053535498
13,4,427.98192666516
13,5,387.18941602471
13,6,344.549523350758
13,7,302.087248469697
13,8,261.431076389038
13,9,223.774274812642
13,10,189.89986315727
13,11,160.244892855126
13,12,134.982397847589
13,13,114.105120600755
13,14,97.5010557327458
13,15,85.0155279196899
13,16,76.4975189226066
13,17,71.829436148584
13,18,70.9398642080108
14,0,406.782834902685
14,1,398.627170270379
14,2,383.251138217523
14,3,361.669421042483
14,4,335.259633920137
14,5,305.584933311869
14,6,274.221010669379
14,7,242.616226514233
14,8,211.999596679296
14,9,183.338065558572
14,10,157.33550000116
14,11,134.461773022923
14,12,115.000007579683
14,13,99.1018169204846
14,14,86.8428058220247
14,15,78.2728186418401
14,16,73.4570052079127
14,17,72.5045614855005
14,18,75.5819930516026
15,0,318.072741878113
15,1,312.241371450569
15,2,301.32133492808
15,3,285.907200709464
15,4,266.849362014744
15,5,245.158395749864
15,6,221.905669695812
15,7,198.135109229392
15,8,174.795583551766
15,9,152.698084956047
15,10,132.497876547669
15,11,114.699127374053
15,12,99.6778588879819
15,13,87.7180016696352
15,14,79.0549059645138
15,15,73.9206770995405
15,16,72.5859747719719
15,17,75.3930214032302
15,18,82.7740875052079
16,0,255.182420472751
16,1,251.460433322026
16,2,244.13718365482
16,3,233.463799977104
16,4,219.878492991902
16,5,203.974640958069
16,6,186.459171217679
16,7,168.103890431757
16,8,149.693626848169
16,9,131.977338560585
16,10,115.629944259936
16,11,101.231958446965
16,12,89.2708553335977
16,13,80.163675524293
16,14,74.2964380333331
16,15,72.0735291353718
16,16,73.9694177229837
16,17,80.5749317300556
16,18,92.6297511425673
17,0,214.525885642139
17,1,213.347979625578
17,2,209.591720152479
17,3,203.138409437776
17,4,194.015342489101
17,5,182.434217204767
17,6,168.811558630657
17,7,153.757080368924
17,8,138.026014736416
17,9,122.445552744956
17,10,107.836283349695
17,11,94.951523505916
17,12,84.4505582226587
17,13,76.9105066149338
17,14,72.8713150530503
17,15,72.9025780789353
17,16,77.6795932706481
17,17,88.0571119693138
17,18,105.129875743573
18,0,195.258171250208
18,1,198.063854694183
18,2,198.974131237365
18,3,197.332859672976
18,4,192.606015468733
18,5,184.532932281775
18,6,173.244253458689
18,7,159.299268539567
18,8,143.623351102766
18,9,127.366091713105
18,10,111.731019735111
18,11,97.833596016917
18,12,86.6262609905207
18,13,78.9011076057128
18,14,75.3571867459555
18,15,76.7083115287311
18,16,83.8075415999746
18,17,97.7703981226
18,18,120.083927183889
