"X","Y","Z"
0,0,850.935566387942
0,1,721.706752113948
0,2,620.277723525481
0,3,545.621969118468
0,4,499.107752233134
0,5,485.483016717983
0,6,514.537389636421
0,7,603.82482179439
0,8,783.045352989963
0,9,1100.99402281672
0,10,1636.34115730974
0,11,2513.51856699402
0,12,3922.5063418596
0,13,6123.13232487272
0,14,9269.47421634738
0,15,11542.1895977239
0,16,9081.69646638433
0,17,5950.25678538312
0,18,3769.87559983182
1,0,839.348417601352
1,1,713.851169217568
1,2,615.45176261133
1,3,543.339639288313
1,4,499.069593356634
1,5,487.59828165924
1,6,519.025105750183
1,7,611.447137903688
1,8,795.580057107337
1,9,1122.19962749256
1,10,1674.09548397396
1,11,2585.08012922895
1,12,4069.14101538744
1,13,6458.77521045968
1,14,10189.8358837731
1,15,13592.3943376127
1,16,9953.37589990463
1,17,6270.6759225733
1,18,3909.83342951918
2,0,816.941211727594
2,1,697.425307897499
2,2,603.534323421502
2,3,534.628922913033
2,4,492.223939160572
2,5,480.970247728872
2,6,510.262746374035
2,7,596.791382516367
2,8,768.451125775847
2,9,1070.13065052094
2,10,1571.85478439109
2,11,2378.5124110119
2,12,3633.48988904011
2,13,5476.17122487935
2,14,7759.81984393176
2,15,9039.22433202132
2,16,7629.55056140512
2,17,5326.33608124525
2,18,3488.69302100437
3,0,785.260071597813
3,1,673.613185987939
3,2,585.506893724955
3,3,520.402450336181
3,4,479.551927724816
3,5,466.837717817903
3,6,490.105896746094
3,7,563.174936804694
3,8,708.552815494908
3,9,960.493869485833
3,10,1367.32032548142
3,11,1989.68066929116
3,12,2882.77599427253
3,13,4028.60400607894
3,14,5166.23262516608
3,15,5663.16698409119
3,16,5095.51821399634
3,17,3921.31130463484
3,18,2760.18185360324
4,0,746.293454268619
4,1,643.978409517431
4,2,562.726099985527
4,3,502.021926538309
4,4,462.673439200104
4,5,447.445016696138
4,6,462.066540591742
4,7,516.770614309313
4,8,628.163912512905
4,9,820.044676049025
4,10,1120.70255224982
4,11,1555.0894727779
4,12,2126.7969469848
4,13,2778.08707461977
4,14,3338.4436856572
4,15,3553.46510365651
4,16,3291.49033686072
4,17,2696.35015722769
4,18,2022.22030181417
5,0,702.242924585441
5,1,610.293968972246
5,2,536.779712891344
5,3,481.151221867644
5,4,443.659411445674
5,5,425.725928636942
5,6,430.572653660478
5,7,464.472764770821
5,8,539.033594337576
5,9,672.349809411129
5,10,881.130919963923
5,11,1167.92652645562
5,12,1515.53376038035
5,13,1874.94566387509
5,14,2155.21065876196
5,15,2251.63533559908
5,16,2117.36970034022
5,17,1805.14131399592
5,18,1421.76083976206
