"x","y","z"
1,1,622.580675862025
1,2,402.152783516733
1,3,363.831248780383
1,4,343.932865845408
1,5,317.535653369963
1,6,321.341721251166
1,7,351.752508334025
1,8,398.917536085576
1,9,405.252617168707
1,10,463.069420159715
1,11,461.563617318071
1,12,496.108011204696
1,13,546.954221746728
1,14,606.487647272808
1,15,901.036925822351
1,16,1192.21770719825
1,17,952.047785996125
1,18,497.443756122447
1,19,322.76293306372
1,20,268.470953215193
2,1,359.459440720599
2,2,405.646601074487
2,3,446.722615337268
2,4,487.618888893442
2,5,494.412293702788
2,6,464.913802084667
2,7,447.719091863644
2,8,445.63978047862
2,9,553.54343270293
2,10,577.117495184366
2,11,670.236689321946
2,12,724.301901856412
2,13,796.703601947947
2,14,955.316659142707
2,15,1050.80883386578
2,16,1058.72233805976
2,17,870.52505810495
2,18,593.002336320764
2,19,385.831539771119
2,20,331.535057946771
3,1,334.393587838015
3,2,373.767473910854
3,3,497.470867395505
3,4,809.657431665352
3,5,902.839287074732
3,6,795.050540624383
3,7,572.327180436491
3,8,552.317323567334
3,9,602.059742274084
3,10,757.620239343289
3,11,801.779136531831
3,12,1152.97489659325
3,13,1467.30981239172
3,14,1508.4726929878
3,15,1576.78205613646
3,16,1145.80477516881
3,17,859.94033538961
3,18,630.6655150197
3,19,481.538513364553
3,20,386.349619389623
4,1,287.831902776249
4,2,370.614899182261
4,3,558.435096973477
4,4,856.636482809602
4,5,1518.67620688106
4,6,881.918441801944
4,7,645.990295101135
4,8,711.487619805946
4,9,621.641876853733
4,10,665.385138457304
4,11,869.053558209677
4,12,1412.56431256321
4,13,2240.47783895123
4,14,2113.63169907824
4,15,1495.35290807846
4,16,1230.39353558023
4,17,893.532736338071
4,18,646.102004833104
4,19,483.804408263979
4,20,460.17006020556
5,1,397.623687302394
5,2,389.526545242236
5,3,525.520788000398
5,4,787.23786536751
5,5,841.277409070675
5,6,800.760810474994
5,7,626.505593351688
5,8,580.689726786279
5,9,606.005328497556
5,10,632.31547650798
5,11,783.776153234476
5,12,1180.38971343136
5,13,1655.86531237648
5,14,1568.49910704885
5,15,1250.04035738489
5,16,983.499822654687
5,17,766.824668599739
5,18,669.316199970011
5,19,512.538477293655
5,20,414.870192970628
6,1,512.034797897668
6,2,555.29417425982
6,3,541.438370164961
6,4,582.449742104208
6,5,596.849856290456
6,6,612.399161807406
6,7,597.246623172237
6,8,596.115405020541
6,9,617.2705648484
6,10,642.698099207922
6,11,714.285692557821
6,12,910.640197291378
6,13,1063.23048892283
6,14,1090.08481681429
6,15,1001.33916488677
6,16,774.473457246768
6,17,639.496227114466
6,18,590.797735826733
6,19,581.927975692627
6,20,394.79141072278
7,1,1005.23783910956
7,2,840.581998784261
7,3,752.210879134517
7,4,650.450018371154
7,5,686.731889451067
7,6,717.707978364295
7,7,758.092564853176
7,8,767.5176035327
7,9,783.731945588572
7,10,792.957914850633
7,11,844.0743715804
7,12,786.657673187735
7,13,862.124183153012
7,14,948.553972812665
7,15,856.359546800387
7,16,709.98434243039
7,17,620.028176407693
7,18,522.281126570169
7,19,432.1156441733
7,20,375.773095475975
8,1,1391.29445783363
8,2,1327.0211407044
8,3,868.526536224749
8,4,955.160320024781
