"x","y","z"
1,1,1266.08653164423
1,2,1089.60233921193
1,3,1434.49928800709
1,4,2886.96491625571
1,5,4962.2901351368
1,6,3987.17078655837
1,7,2759.38520902484
1,8,2240.56274928244
1,9,3139.97841938009
1,10,7955.89392175102
1,11,4141.76831114244
1,12,1931.91150120295
1,13,1181.84717249002
1,14,1117.88642915485
1,15,1079.58113364237
1,16,1000.08039229305
1,17,994.008952901947
1,18,1333.55934612992
1,19,1304.06662127026
1,20,1243.65212678193
2,1,1176.46252773806
2,2,1190.0119720268
2,3,1571.74359592607
2,4,3347.48812056711
2,5,10008.816350327
2,6,11037.0261810905
2,7,9464.92301281696
2,8,3043.49672367226
2,9,3135.82707630164
2,10,3746.78116291179
2,11,3326.06527482617
2,12,2100.74152083105
2,13,1528.95691701245
2,14,1401.92905345212
2,15,1349.76170432254
2,16,1192.65137743599
2,17,1109.69195890595
2,18,1150.36756668142
2,19,1145.82276042652
2,20,979.065135833722
3,1,1333.63077039001
3,2,1227.38968279317
3,3,1587.73364536229
3,4,3130.89911753891
3,5,10704.2541499418
3,6,82902.8138495229
3,7,10391.5040504784
3,8,4014.96823168109
3,9,2515.00087222164
3,10,2400.26750893023
3,11,2189.28194936948
3,12,2030.57596483603
3,13,2141.73935710327
3,14,1848.62530486116
3,15,1668.66882611386
3,16,1448.52250496953
3,17,1179.81294344879
3,18,1049.30562500532
3,19,970.193859463517
3,20,932.753629438173
4,1,1048.78736177974
4,2,1162.25537518131
4,3,1451.82552231428
4,4,2584.6850008204
4,5,8686.21108099786
4,6,9991.2467037569
4,7,9357.24038569895
4,8,3189.36200587052
4,9,2388.29508396994
4,10,2026.59676924603
4,11,1791.98145629344
4,12,1804.63240480936
4,13,2024.0895345461
4,14,2372.54999680726
4,15,1737.70575340812
4,16,1399.0801270071
4,17,1167.39251550465
4,18,1029.69344170829
4,19,958.127396291212
4,20,954.556265342164
5,1,1046.11054385867
5,2,1112.91868891829
5,3,1333.8563010873
5,4,1961.83391117369
5,5,2704.82024401138
5,6,3196.47682712234
5,7,2791.9873844588
5,8,2325.33922258042
5,9,2066.89313448016
5,10,1790.79476077164
5,11,1692.96746908776
5,12,1640.48337096195
5,13,1913.00385632457
5,14,2016.67781242655
5,15,1870.16182728675
5,16,1445.30775864392
5,17,1189.50770693116
5,18,1070.0638748048
5,19,1073.68212945358
5,20,888.769362855597
6,1,1233.51692085067
6,2,1275.92565288215
6,3,1359.38147635571
6,4,1543.69258682216
6,5,1739.30506513247
6,6,1946.89350801838
6,7,1721.22831942279
6,8,1658.31126689134
6,9,1640.77487227914
6,10,1675.45264855054
6,11,1482.95709516473
6,12,1437.80821582626
6,13,1711.91228524656
6,14,2425.39989066879
6,15,2129.37365622505
6,16,1724.61267889998
6,17,1493.54810352369
6,18,1359.86313796751
6,19,1278.33573850614
6,20,1158.84513020939
7,1,1498.96915591604
7,2,1553.14303729867
7,3,1407.15844366348
7,4,1343.45661134854
7,5,1471.33419863808
7,6,1626.39288295403
7,7,1607.70935038583
7,8,1641.98603963495
7,9,1682.16435734576
7,10,1552.58271392091
7,11,1435.10132003387
7,12,1354.80907208132
7,13,1523.52594781766
7,14,1891.41671489957
7,15,2216.83466408891
7,16,2469.55887861113
7,17,2410.77230219959
7,18,2435.14470574998
7,19,2226.08067472826
7,20,1754.54958693995
8,1,1881.1568552823
8,2,1771.16819709287
8,3,1505.36886989839
8,4,1344.52573141243
8,5,1384.48433492984
8,6,1586.28612538051
8,7,1685.55753651417
8,8,1645.2531984533
8,9,1864.14377635158
8,10,1611.22306756142
8,11,1458.76246597792
8,12,1405.06516004259
8,13,1450.710489352
8,14,1718.62078707047
8,15,2147.53680122573
8,16,2842.29112905805
8,17,5771.24430608415
8,18,6247.59736056556
8,19,5379.3473642912
8,20,2657.59642538736
9,1,2174.63822216688
9,2,2059.04020156364
9,3,1755.40990278571
9,4,1440.79485678388
9,5,1381.7483826178
9,6,1512.39160803365
9,7,1519.21964511061
9,8,1592.18605573364
9,9,1695.79314883416
9,10,1633.83493802996
9,11,1562.24960852772
9,12,1471.61131310357
9,13,1688.12490062049
9,14,1858.25956906212
9,15,2224.05144829326
9,16,3165.65199719019
9,17,6207.10801893436
9,18,25791.7499045242
9,19,6234.41909136493
9,20,2791.82575341345
10,1,3016.95043854246
10,2,2007.10584459568
10,3,1570.13248926161
10,4,1435.55169777639
10,5,1408.43706179564
10,6,1354.49623677793
10,7,1513.90403726135
10,8,1819.29573219385
10,9,1910.43892758056
10,10,1979.99183436135
10,11,1698.04771815512
10,12,1538.16005160871
10,13,1695.18954761104
10,14,2179.52522123877
10,15,2269.89560975109
10,16,2645.19480488798
10,17,5211.64634711816
10,18,5829.58771752926
10,19,4972.00325553988
10,20,2376.25969094329
11,1,2028.0971086494
11,2,1646.70982635583
11,3,1372.23623535281
11,4,1280.85008230648
11,5,1310.64967012961
11,6,1465.56276658454
11,7,1942.46017456017
11,8,2488.91367206159
11,9,2986.55440123449
11,10,2700.23767732539
11,11,2028.71634943612
11,12,1584.19335632111
11,13,1634.07376222848
11,14,1930.49261995902
11,15,1860.18578316293
11,16,2052.94276284011
11,17,2372.98268233224
11,18,2555.25559417511
11,19,2108.49547939129
11,20,1658.72957808047
12,1,1386.91384534668
12,2,1297.2843125131
12,3,1206.79360681177
12,4,1347.35975047155
12,5,1313.1913833151
12,6,1659.55982587049
12,7,2429.90884906333
12,8,3312.29519049073
12,9,4112.09293553316
12,10,3586.85337335754
12,11,2190.07996449951
12,12,1508.56437851654
12,13,1389.53256059546
12,14,1485.57387822461
12,15,1605.80609301839
12,16,1662.96954109523
12,17,1924.89324088111
12,18,1794.91280307317
12,19,1444.46396769011
12,20,1165.79037923253
13,1,1293.58815381424
13,2,1100.21554584226
13,3,1122.29401532507
13,4,1317.39782589545
13,5,1503.91161888961
13,6,1925.45834955485
13,7,2647.73673229165
13,8,3033.54072350188
13,9,2948.86778578485
13,10,2368.92284114875
13,11,1725.28016816815
13,12,1313.60564517814
13,13,1255.74285386288
13,14,1387.84634983532
13,15,1623.56148041187
13,16,1842.37898817757
13,17,1740.8851373848
13,18,1634.66752268948
13,19,1281.64585390448
13,20,963.474689703152
14,1,1016.61060015528
14,2,963.426013854151
14,3,1070.68766184388
14,4,1362.33903760448
14,5,1900.88131618695
14,6,2397.05954681736
14,7,2472.64146700091
14,8,2070.31529922872
14,9,1740.00620953025
14,10,1514.9045317415
14,11,1276.70310488364
14,12,1180.41999423733
14,13,1080.25927618425
14,14,1250.66793208601
14,15,1653.68478649446
14,16,1529.11395587989
14,17,1730.35660382726
14,18,1641.24356888227
14,19,1304.95837440576
14,20,1104.95889091399
15,1,677.386585099213
15,2,801.285200313066
15,3,1020.35805706503
15,4,1482.80015707082
15,5,2057.0949825412
15,6,2572.83021964564
15,7,2005.30367389446
15,8,1512.72808382454
15,9,1303.13856489137
15,10,1269.47287478093
15,11,1301.98171316997
15,12,1175.62925763614
15,13,1021.33392343582
15,14,1092.78220429546
15,15,1177.24797136683
15,16,1334.67734367016
15,17,1425.54182109896
15,18,1570.29498205855
15,19,1322.73065502253
15,20,1045.82754381956
16,1,590.258178190177
16,2,739.223337076223
16,3,989.391539485483
16,4,1398.94137922007
16,5,1926.98557178085
16,6,1957.63685977332
16,7,1635.63803926479
16,8,1342.56057480225
16,9,1249.55176571536
16,10,1415.36839705104
16,11,1508.58368350033
16,12,1227.68350099664
16,13,1074.82669323628
16,14,1053.15706083277
16,15,1162.0255547772
16,16,1308.92113814304
16,17,1430.44625929675
16,18,1448.89142932267
16,19,1388.21172074863
16,20,1088.55266587337
17,1,773.647009209267
17,2,859.872468684789
17,3,1068.89658044718
17,4,1553.45808599457
17,5,1872.14683796188
17,6,1793.33382841658
17,7,1359.56763969469
17,8,1202.81688012239
17,9,1353.67097563495
