GridID,type,alphalocalization,diffusion,diffusionsteps,distance,entropy,growthrate,moran,population,replication,rsquared,slope
-11258480653,compact,1.707024718,0.005688995,3,0.29022471,0.62512262,1753.094337,0.093507337,428076.8497,-1125848065,0.978958972,-1.479456991
-5694203882,poly,1.525077587,0.00764774,2,0.512251512,0.674371231,4629.168439,0.041134245,762681.6163,-569420388,0.96361025,-0.939943007
20533943511,disc,1.853205966,0.107966149,1,0.768022695,0.755022894,12905.64143,0.04916487,714917.8302,2053394351,0.932069982,-0.779089221
