"x","y","z"
1,1,451.912058048073
1,2,447.562040984462
1,3,456.684759597313
1,4,516.228794153335
1,5,545.358552771448
1,6,660.775164009031
1,7,582.136529531617
1,8,633.878177872028
1,9,733.396301306659
1,10,649.543023515756
1,11,655.705961993154
1,12,693.528887815236
1,13,521.192267298493
1,14,423.659110105684
1,15,356.341758406473
1,16,326.605379451696
1,17,300.04576141903
1,18,269.824644247553
1,19,254.442641930368
1,20,245.002818115955
2,1,353.65491847304
2,2,379.495059746713
2,3,426.471606814888
2,4,432.789413335676
2,5,476.302781981772
2,6,498.260815184501
2,7,577.117242049657
2,8,749.943239124165
2,9,775.703358429464
2,10,751.296831959303
2,11,696.076455546084
2,12,696.650549568844
2,13,704.287444255211
2,14,640.250711258717
2,15,626.377577485973
2,16,621.978000048494
2,17,619.863669073507
2,18,561.753006109477
2,19,469.209065953866
2,20,368.726547021709
3,1,284.395483659375
3,2,333.107075200449
3,3,350.824781185112
3,4,366.042992527537
3,5,368.097439667936
3,6,411.038443725747
3,7,538.092596497031
3,8,725.462988336575
3,9,967.961887643593
3,10,776.841367459952
3,11,753.573788345194
3,12,945.938368050306
3,13,1056.13313741164
3,14,1280.50312957467
3,15,1573.05125011422
3,16,2157.19139272817
3,17,2395.80048677095
3,18,2098.2268431711
3,19,1393.87959153272
3,20,886.790066230102
4,1,313.918894915337
4,2,344.371301276785
4,3,348.551926998993
4,4,333.127466941561
4,5,332.822789607561
4,6,377.947178729653
4,7,494.031385463052
4,8,687.988517318946
4,9,749.170133625573
4,10,775.937465161071
4,11,815.906357073115
4,12,1103.82739767329
4,13,1654.89188950407
4,14,2008.17461789256
4,15,5103.41415971056
4,16,8867.70233177709
4,17,11493.838024598
4,18,8845.2160542465
4,19,4981.89889968207
4,20,1737.17465339163
5,1,479.155101437422
5,2,432.832293356046
5,3,404.010604900269
5,4,350.765542439331
5,5,339.435452584016
5,6,383.804081277797
5,7,475.624488619086
5,8,559.907738346792
5,9,605.122823595686
5,10,656.682980108876
5,11,852.975165484253
5,12,1148.23010415186
5,13,1477.05894909999
5,14,2751.96020201422
5,15,9068.77650726341
5,16,38681.085050538
5,17,44772.0466272132
5,18,38670.5079101941
5,19,9084.47492715815
5,20,2868.21565789303
6,1,715.002484612154
6,2,642.983082922552
6,3,448.528374433878
6,4,386.023715826432
6,5,375.830127200206
6,6,399.859161255594
6,7,442.534088469268
6,8,471.594129073959
6,9,497.801943148086
6,10,567.128441159084
6,11,760.521929334341
6,12,1101.43286811068
6,13,1297.15574732868
6,14,2918.3062408883
6,15,11771.9134066289
6,16,44708.1491418354
6,17,235318.524376007
6,18,44123.0846360226
6,19,11879.7741015062
6,20,3312.62202488034
7,1,1276.15334423844
7,2,738.293372723262
7,3,519.809902432501
7,4,439.684881844365
7,5,453.603826139233
7,6,457.858519571
7,7,439.880339280096
7,8,424.36081552249
7,9,439.072908157165
7,10,480.205367145629
7,11,625.70336059582
7,12,785.418433555329
7,13,1167.77577316238
7,14,2635.36361627082
7,15,9242.01902301166
7,16,38288.7096811188
7,17,44148.6209198129
7,18,37997.4090647949
7,19,9142.5016638921
7,20,2926.39733276827
8,1,968.141613514185
8,2,825.223624700115
8,3,570.475137863393
8,4,566.251367142496
8,5,606.983670306673
8,6,604.494514140109
8,7,519.514059990912
8,8,439.777659124548
8,9,417.640468967657
8,10,447.699637512997
8,11,496.469048459073
8,12,627.471259376271
8,13,942.533705199339
8,14,1987.16225148656
8,15,5290.0612643933
8,16,9152.36957404463
8,17,11687.4430456281
8,18,9066.0491353428
8,19,5265.86659545668
8,20,2145.67831700989
9,1,1058.49705118175
9,2,724.519047434858
9,3,615.90665569958
9,4,678.589206787104
9,5,842.479974530864
9,6,816.496558689891
9,7,653.779103832137
9,8,527.102570597542
9,9,486.505917890867
9,10,488.881125353875
9,11,509.775142012996
9,12,565.892611409181
9,13,754.289243197993
9,14,1137.18194015052
9,15,1793.88131271975
9,16,2543.07861912327
9,17,2819.0765345563
9,18,2574.42111403681
9,19,1958.18484394207
9,20,1652.63960080035
10,1,688.154406113217
10,2,660.330364027116
10,3,629.47849957883
10,4,749.249694808411
10,5,942.135488608723
10,6,950.226154868953
10,7,806.228906125198
10,8,637.297135623745
10,9,606.604266734222
10,10,652.161571959738
10,11,618.863067414978
10,12,586.873981000907
10,13,597.347947606713
10,14,663.845881007441
10,15,798.677574351631
10,16,953.849821619226
10,17,1095.43434423497
10,18,1158.60490441081
10,19,1228.38853318603
10,20,1109.15281584084
11,1,536.235391184449
11,2,527.702020404046
11,3,573.164810732337
11,4,723.558153078929
11,5,936.23151435063
11,6,993.816661113914
11,7,861.308075553659
11,8,706.019592891287
11,9,713.244422821172
11,10,799.735254437875
11,11,759.999856931642
11,12,608.419772989097
11,13,537.978538280331
11,14,540.851498547396
11,15,556.705271070444
11,16,644.834392043819
11,17,823.686681676412
11,18,1045.50188177218
11,19,1024.1973731161
11,20,975.272900566034
12,1,424.093631721762
12,2,439.204721194813
12,3,497.672827502296
12,4,640.876021984816
12,5,834.62598803732
12,6,977.913981672724
12,7,840.974893391658
12,8,708.146262600104
12,9,743.791962337341
12,10,829.351659721463
12,11,760.118390078665
12,12,621.075667849539
12,13,531.93612082277
12,14,512.374879924372
12,15,561.48667557638
12,16,633.262956226593
12,17,832.427909314116
12,18,1026.341914923
12,19,956.171149661896
12,20,879.972932030689
13,1,354.601092661645
13,2,399.989975204858
13,3,462.020217549349
13,4,548.079402723481
13,5,708.741118683356
13,6,845.618371244604
13,7,738.509878168941
13,8,630.370213113574
13,9,664.62221094844
13,10,776.05420813208
13,11,667.520195316528
13,12,590.435339164405
13,13,544.672575260171
13,14,553.852241731906
13,15,562.149380256464
13,16,701.664217136093
13,17,855.818345084383
13,18,908.19220070605
13,19,785.54067897027
13,20,650.820039374874
14,1,385.829402470138
14,2,414.529061669416
14,3,463.757985678011
14,4,526.099733628619
14,5,594.805450433768
14,6,615.443227276584
14,7,590.113323897685
14,8,530.543352061495
14,9,548.642148794206
14,10,563.830609823631
14,11,562.836174854556
14,12,535.17336212875
14,13,575.455787424953
14,14,531.332276721113
14,15,555.779354899673
14,16,668.934657401574
14,17,864.189606302919
14,18,722.649010233946
14,19,580.15244096818
14,20,478.397854610054
15,1,463.701326216649
15,2,539.028985214417
15,3,592.271699432521
15,4,609.0847901739
15,5,585.046644185495
15,6,521.984745288646
15,7,477.737572131083
15,8,464.304223474143
15,9,454.506308488013
15,10,462.951124886523
15,11,457.727976085877
15,12,480.097005661693
15,13,492.866871168111
15,14,502.491850405287
15,15,501.386454810959
15,16,575.171849041264
15,17,604.887097538565
15,18,562.260552895911
15,19,452.748133992095
15,20,380.154164594802
16,1,734.374292665003
16,2,795.984160412277
16,3,892.343827895695
16,4,859.389276098374
16,5,689.449901004733
16,6,525.964976141058
16,7,443.891612013612
16,8,433.205778628156
16,9,423.93977609257
16,10,415.368734295144
16,11,423.784579325571
16,12,433.086198699585
16,13,449.413819972327
16,14,459.111423884682
16,15,464.258274901365
16,16,475.483356071991
16,17,493.313037274388
16,18,463.142892356763
16,19,412.212316281744
16,20,369.805065983032
17,1,979.957784745691
17,2,1200.11784574608
17,3,1220.78165890877
17,4,1161.20039667139
17,5,800.839608429584
17,6,564.481080069482
17,7,457.258688236003
17,8,420.931715908565
17,9,411.929202683857
17,10,403.684346698678
17,11,413.343727265273
17,12,434.530529565852
17,13,448.751755781
17,14,443.40761193161
17,15,458.958599685471
17,16,520.350196247632
17,17,536.840624867865
17,18,520.46857180959
17,19,477.925072652734
17,20,433.778905986245
18,1,1029.52204121928
18,2,1219.04056086407
18,3,1552.89991959001
18,4,1105.02702320563
18,5,823.061553176495
18,6,627.571140439943
18,7,539.763904424899
18,8,474.189192999622
18,9,432.415050968716
18,10,411.798971882347
18,11,420.636823513347
18,12,454.460658280803
18,13,468.500111951429
18,14,484.275524153525
18,15,511.469769848311
18,16,598.314391918839
18,17,703.388273060309
18,18,621.945764617656
18,19,598.163326504239
18,20,640.110879391275
19,1,831.198107455899
19,2,1004.16452475646
19,3,1010.5509967946
19,4,902.689113498389
19,5,721.636350019594
19,6,732.105369252788
19,7,687.596208543627
19,8,621.53577585392
19,9,493.101843339542
19,10,426.732235632048
19,11,426.885244888729
19,12,453.594605018583
19,13,551.159429961869
19,14,592.617425732403
19,15,630.381644598147
19,16,639.385363688461
19,17,703.188970679592
