"x","y","z"
0,0,1055.8026611267
0,1,4692.73376369373
0,2,22206.3066000081
0,3,23793.5815958829
0,4,19832.4988897414
0,5,2487.52057373473
0,6,415.292348389565
0,7,234.384143023114
0,8,231.947331405217
0,9,287.086317986641
0,10,331.3810078695
0,11,474.565151860147
0,12,384.068318746498
0,13,351.895640175593
0,14,425.245007597291
0,15,505.597899055356
0,16,598.339037514099
0,17,477.83426807138
0,18,477.148163142476
0,19,707.161040771455
1,0,1029.08102232613
1,1,4931.51788106644
1,2,28901.7312709924
1,3,191436.571134297
1,4,18716.2336981902
1,5,3046.27603978184
1,6,508.727016070332
1,7,273.869232358612
1,8,335.158361033374
1,9,281.92451064564
1,10,375.751980054175
1,11,537.467203419821
1,12,416.788967366645
1,13,423.223880575145
1,14,688.54059773901
1,15,654.532267548217
1,16,711.649549741867
1,17,1059.71307673456
1,18,493.019299215216
1,19,396.965184899814
2,0,849.851824536145
2,1,3733.22098172874
2,2,18640.8364814886
2,3,20203.0499124754
2,4,16878.1320416289
2,5,2182.63477447166
2,6,473.885215779609
2,7,296.183486813236
2,8,322.09803597413
2,9,267.513684614356
2,10,318.30391415947
2,11,414.544962519595
2,12,436.139814229686
2,13,458.203799412107
2,14,517.381964335915
2,15,677.069216628095
2,16,1361.23426027031
2,17,634.335553132718
2,18,453.203753720795
2,19,362.185885865111
3,0,617.872749651118
3,1,1615.37741744068
3,2,2762.06499151711
3,3,3610.52116759589
3,4,2445.01320428139
3,5,1249.19318201095
3,6,370.942993446816
3,7,260.671425439486
3,8,241.410297715563
3,9,279.82537942646
3,10,251.517432709111
3,11,315.772629844484
3,12,510.431246276511
3,13,571.037419260765
3,14,567.004562981369
3,15,606.499614598432
3,16,592.010982094036
3,17,556.594937460793
3,18,367.199136848905
3,19,316.116047602877
4,0,681.580376804001
4,1,702.448425297629
4,2,827.528343160776
4,3,777.073728468816
4,4,632.554281614138
4,5,402.761301676415
4,6,314.428227246777
4,7,217.543169745326
4,8,224.745346891422
4,9,281.590606479619
4,10,310.938523100122
4,11,390.550376352214
4,12,590.662288213094
4,13,1092.24546526625
4,14,604.778325161422
4,15,514.144750667533
4,16,464.927195891454
4,17,447.133527015716
4,18,390.366420000698
4,19,440.868642902529
5,0,651.242565120931
5,1,801.708465905636
5,2,617.074040221045
5,3,424.961025353351
5,4,374.066646005041
5,5,324.144739218742
5,6,250.884297331094
5,7,219.384162971362
5,8,227.816649835981
5,9,315.550538526518
5,10,619.082913089346
5,11,444.477413752202
5,12,546.112369010364
5,13,635.772761895127
5,14,609.98635699204
5,15,594.546893885916
5,16,563.400788777227
5,17,376.935451885307
5,18,367.497191867402
5,19,624.742320130042
6,0,428.940007457259
6,1,518.687125749899
6,2,530.62147519478
6,3,473.025977866546
6,4,381.529900279317
6,5,315.620675163475
6,6,274.657075165934
6,7,277.239134748217
6,8,337.895293737478
6,9,405.752964050525
6,10,431.08573840254
6,11,441.852211988398
6,12,365.973362535273
6,13,400.291825709331
6,14,470.676075352774
6,15,536.829647942208
6,16,471.422205243315
6,17,473.690824460258
6,18,321.620086642238
6,19,298.78915682179
7,0,391.35330678791
7,1,511.399792627526
7,2,639.49765596397
7,3,523.320292254513
7,4,384.926681561992
7,5,380.744422476189
7,6,387.384502813049
7,7,432.731782943313
7,8,481.588371004774
7,9,685.922690572134
7,10,452.410089778911
7,11,370.895899409182
7,12,332.878197387219
7,13,397.078381688859
7,14,479.144782457427
7,15,501.384992790742
7,16,381.307231892881
7,17,329.913957734954
7,18,276.933961040616
7,19,194.441953068568
8,0,774.080983958892
8,1,529.917757848775
8,2,467.901692590242
8,3,550.524664783225
8,4,469.348600420281
8,5,484.692545272924
8,6,587.220671800122
8,7,577.074634572436
8,8,714.160035062044
8,9,529.207415654249
8,10,562.175794962389
8,11,459.186664708751
8,12,476.010585206913
8,13,467.287620873181
8,14,692.650096317259
8,15,515.522159621084
8,16,379.233392150079
8,17,324.532292690349
8,18,221.999560091416
8,19,183.563107859329
9,0,768.919246874324
9,1,541.036568861184
9,2,384.406819413317
9,3,411.293714845731
9,4,545.029174111259
9,5,635.492435569464
9,6,945.472069640575
9,7,667.253111620106
9,8,585.792148445292
9,9,583.505003917856
9,10,451.973283068513
9,11,701.37604831494
9,12,562.681336056757
9,13,544.689323614195
9,14,557.945311280896
9,15,466.816857704333
9,16,430.839652878933
9,17,280.867743170499
9,18,208.681583148307
9,19,168.163488992015
10,0,397.029367619347
10,1,368.095533268803
10,2,362.90312956208
10,3,376.501242543819
10,4,529.702223802342
10,5,1217.34821679571
10,6,798.694708174658
10,7,749.475480121649
10,8,543.340527205366
10,9,457.992489312213
10,10,446.238696262894
10,11,503.712513828461
10,12,546.513335145111
10,13,598.543494960637
10,14,483.508882898692
10,15,442.563098967997
10,16,370.000679476236
10,17,330.399987089934
10,18,226.79126044914
10,19,199.494114520947
11,0,305.28235585642
11,1,365.928369301724
11,2,421.617567210449
11,3,443.60290604736
11,4,596.297815918537
11,5,741.725421266257
11,6,1192.11989130755
11,7,674.735516109422
11,8,540.897501835435
11,9,403.966174794339
11,10,477.980915111529
11,11,502.131122967627
11,12,644.454590925431
11,13,563.428580904059
11,14,448.709768928678
11,15,456.814573670893
11,16,513.428343692617
11,17,425.296789183035
11,18,356.794628870891
11,19,292.167819920064
12,0,387.706724168731
12,1,650.475979461105
12,2,738.566466235581
12,3,843.001065345039
12,4,527.751641105486
12,5,644.378312692055
12,6,878.46765627581
12,7,722.979442244723
12,8,463.048417387746
12,9,447.902108692292
12,10,459.241482817903
12,11,588.645406850538
12,12,552.421905752043
12,13,595.964788132879
12,14,637.822772298569
12,15,541.598377435903
12,16,720.596438659178
12,17,521.978848515563
12,18,519.166252059718
12,19,545.792221648278
13,0,462.764091646283
13,1,763.93330013069
13,2,1942.67231575868
13,3,859.617841885783
13,4,567.158015566944
13,5,508.672062892629
13,6,510.311534803392
13,7,564.449765791095
13,8,508.062245187397
13,9,500.318162344335
13,10,552.197497499773
13,11,596.325955729674
13,12,679.225866448259
13,13,852.592324336837
13,14,642.767615336067
13,15,690.838666679438
13,16,603.369637547013
13,17,572.682855560996
13,18,555.685745680169
13,19,865.547034261746
14,0,347.862418885395
14,1,727.582297850936
14,2,1058.50398938893
14,3,1118.95746520608
14,4,487.580317589114
14,5,392.809410997521
14,6,362.756155722971
14,7,383.244750272554
14,8,419.49275075898
14,9,467.929015967036
14,10,561.69068954439
14,11,700.83514442202
14,12,773.283208059565
14,13,891.892571936412
14,14,946.279488591553
14,15,694.032565354896
14,16,664.485459166318
14,17,552.247936901638
14,18,530.365242447865
14,19,534.548808354969
15,0,320.725972848594
15,1,398.250818573546
15,2,571.099419783846
15,3,513.356040102035
15,4,435.055952465762
15,5,318.966515845554
15,6,315.277063566733
15,7,375.060179836182
15,8,443.891530702296
15,9,471.853814788519
15,10,594.356577081682
15,11,732.187207275898
15,12,1163.32064921525
15,13,942.72577787426
15,14,1123.17935714569
15,15,761.985779163315
15,16,526.034401463236
15,17,549.606927340368
15,18,494.334559859246
15,19,531.527861767864
16,0,253.154448283886
16,1,261.62637412065
16,2,315.201983918174
16,3,371.68633197074
16,4,360.716119047819
16,5,368.764185992992
16,6,376.717044416553
16,7,408.029216257834
16,8,434.20239034818
16,9,437.493770016421
16,10,568.925801962884
16,11,964.616661537412
16,12,1202.46302541844
16,13,1112.27851124045
16,14,733.063787860074
16,15,632.553204293504
16,16,574.141009692923
16,17,576.982518830504
16,18,643.833794907929
16,19,664.81112426093
17,0,210.575559754579
17,1,256.080503031487
17,2,295.430564096882
17,3,384.223083726988
17,4,370.34944732695
17,5,529.964649347989
17,6,450.591442686955
17,7,486.411021732797
17,8,430.25818712728
17,9,488.174248817299
17,10,529.844515366129
17,11,881.70437896803
17,12,2377.60064148311
17,13,951.161092305937
17,14,675.231553674059
17,15,541.380436109574
17,16,525.027735082678
17,17,633.9045110455
17,18,832.331623705156
17,19,1462.06513216397
18,0,293.877149433019
18,1,335.885459348219
18,2,400.460935180619
18,3,404.799734347245
18,4,383.440574926671
18,5,403.395726110257
18,6,630.714947824269
18,7,501.095759752437
18,8,488.166739743091
18,9,560.397970133655
18,10,566.555985526214
18,11,830.15391004559
18,12,829.112031285102
18,13,795.499517285845
18,14,495.524667011277
18,15,640.151828663301
18,16,556.437560585745
18,17,756.534404033688
18,18,1452.62640178581
18,19,945.082779149019
19,0,266.368112843238
19,1,396.424919473978
19,2,554.264509477624
19,3,406.478570783433
19,4,418.201795163093
19,5,343.493513639563
19,6,477.651556241743
19,7,599.931079806868
19,8,432.421905670738
19,9,413.347253193499
19,10,517.42648099751
19,11,545.913163758456
19,12,510.834029144896
19,13,441.561510025755
19,14,386.36324360596
19,15,444.864337613474
19,16,594.368480658274
19,17,1116.52697277616
19,18,1255.49266307861
19,19,1368.0154768225
