"x","y","z"
0,0,327.45519352406
0,1,313.564772440722
0,2,376.645542180639
0,3,513.365132049784
0,4,1079.5929260517
0,5,3542.49670978028
0,6,6518.08073726595
0,7,8716.44206071563
0,8,6764.10129229703
0,9,4094.43327765319
0,10,1110.01452221063
0,11,393.048719691746
0,12,219.815228867132
0,13,168.242075094698
0,14,194.326719908879
0,15,237.619963881274
0,16,234.203784412627
0,17,288.555389924218
0,18,402.995711805219
0,19,633.261794857112
1,0,383.122386913836
1,1,545.397962695628
1,2,614.725855615555
1,3,739.894240447334
1,4,1434.26581262329
1,5,5712.87275503032
1,6,29030.6128114109
1,7,33283.4653177636
1,8,29448.1536690795
1,9,5825.56034624312
1,10,1492.63369630998
1,11,507.306076462803
1,12,246.321537668465
1,13,190.313401013238
1,14,212.98401166189
1,15,246.858473258149
1,16,276.426908014094
1,17,317.016686297624
1,18,410.075070174692
1,19,521.051153414371
2,0,483.430930646532
2,1,691.468294624605
2,2,1177.45189819728
2,3,808.771153471623
2,4,1560.39743959312
2,5,7413.10407536086
2,6,33084.8664229287
2,7,213738.370083864
2,8,32614.8677319189
2,9,7412.51883819822
2,10,1583.42548507751
2,11,524.806762872874
2,12,283.462007256514
2,13,233.523521688284
2,14,240.789449782966
2,15,269.895425259963
2,16,286.920254126696
2,17,326.740702734003
2,18,347.415415820546
2,19,342.813803212549
3,0,660.593846139602
3,1,747.941071084269
3,2,759.915801057555
3,3,780.076303848506
3,4,1364.20908008379
3,5,5576.4080639386
3,6,28558.6227597038
3,7,32629.7823952694
3,8,28361.7009650904
3,9,5507.58791112832
3,10,1311.5289256213
3,11,504.568482828551
3,12,296.732025735882
3,13,255.005495147625
3,14,273.048417535427
3,15,280.728958714639
3,16,277.960449546949
3,17,282.68083838831
3,18,291.330665742917
3,19,266.111498065726
4,0,734.466106390723
4,1,687.713825874739
4,2,548.277283659562
4,3,556.478753262783
4,4,998.823658582514
4,5,3126.33125205046
4,6,5559.55178308784
4,7,7292.85286351137
4,8,5475.93695555282
4,9,2985.76430468484
4,10,845.531299403251
4,11,407.458288089664
4,12,303.157767413618
4,13,249.148086560757
4,14,252.727610230403
4,15,271.23277167283
4,16,277.585771561654
4,17,269.027841623747
4,18,260.234574317039
4,19,261.742968955499
5,0,527.131190656664
5,1,517.117840357472
5,2,442.926869679725
5,3,440.209014508032
5,4,688.599244348588
5,5,1006.2258577328
5,6,1317.93436231631
5,7,1436.53566854439
5,8,1262.71803045302
5,9,834.700867026163
5,10,521.582246362021
5,11,326.288073340999
5,12,276.638398746497
5,13,245.685730765574
5,14,243.667011409939
5,15,295.255510603893
5,16,290.614334670586
5,17,243.97749264418
5,18,248.864086259994
5,19,264.667295978118
6,0,407.702280675618
6,1,387.047724663367
6,2,366.601158328365
6,3,391.695022917608
6,4,443.973420985742
6,5,521.172432852621
6,6,512.195765896216
6,7,496.898853548282
6,8,462.627146349148
6,9,431.149167008058
6,10,329.99187092497
6,11,294.816908189205
6,12,249.354746146019
6,13,232.62355912122
6,14,240.428516289491
6,15,267.004207934794
6,16,239.67276747374
6,17,225.548282758933
6,18,251.079021525888
6,19,330.992104333156
7,0,422.251201483426
7,1,402.512219759609
7,2,336.273917472603
7,3,331.527129001412
7,4,363.138552864722
7,5,395.102589667113
7,6,414.519707259425
7,7,362.126010056334
7,8,382.285846432164
7,9,342.921121288682
7,10,324.71474551436
7,11,269.476197898998
7,12,246.712550230466
7,13,233.963601467531
7,14,239.364917831051
7,15,224.102402247151
7,16,209.444551277512
7,17,217.187151891605
7,18,271.190438980179
7,19,324.452591992292
8,0,541.844070067217
8,1,403.069428128728
8,2,349.616205381923
8,3,306.992224222353
8,4,288.729015537288
8,5,305.158613180878
8,6,329.265306461581
8,7,371.35400063375
8,8,337.355814155764
8,9,336.43284889561
8,10,303.878663516872
8,11,265.428032923221
8,12,274.689410738765
8,13,287.523751045911
8,14,278.372966368502
8,15,241.097864838607
8,16,210.886490640164
8,17,213.988239566949
8,18,257.989520469607
8,19,366.385356233635
9,0,380.469921223401
9,1,412.429347100511
9,2,376.911729306448
9,3,314.457870593877
9,4,267.510406540959
9,5,257.098515784147
9,6,284.576686018168
9,7,290.177592569147
9,8,293.346303373813
9,9,264.529796749506
9,10,250.389820751246
9,11,249.927163801141
9,12,303.519373868033
9,13,422.135920691854
9,14,362.215052518598
9,15,314.63169372573
9,16,253.105316259564
9,17,232.96719878959
9,18,269.344794679877
9,19,290.088373577991
10,0,339.253941210147
10,1,371.090651152717
10,2,373.399522790386
10,3,341.433943437537
10,4,324.493548835238
10,5,278.576680106672
10,6,241.998654022423
10,7,244.221535360023
10,8,233.86246229397
10,9,226.445489877984
10,10,233.91133149064
10,11,241.871555462362
10,12,329.970288400713
10,13,499.085112987278
10,14,556.992144712362
10,15,476.623456592836
10,16,304.014049662863
10,17,268.867489559093
10,18,288.74505050355
10,19,365.145222789951
11,0,325.883673312348
11,1,315.795076788164
11,2,348.237459502483
11,3,345.266882535804
11,4,406.773826114241
11,5,353.82770899262
11,6,296.662769023103
11,7,232.257703827017
11,8,237.704137068202
11,9,242.973259301398
11,10,239.510769359448
11,11,280.388477866799
11,12,333.257494120407
11,13,531.904714294642
11,14,932.76492806153
11,15,562.530430136842
11,16,365.441752957445
11,17,303.399309032158
11,18,374.228849641652
11,19,338.249347949447
12,0,249.577881529714
12,1,294.062189414825
12,2,312.184030483979
12,3,326.032423773612
12,4,382.273848188139
12,5,536.578873007487
12,6,344.179866465139
12,7,263.09761883443
12,8,259.793734252857
12,9,267.304955770284
12,10,288.055916543417
12,11,291.111856048472
12,12,342.957865877753
12,13,522.253111092852
12,14,588.946890777974
12,15,541.931118853028
12,16,365.824056457023
12,17,325.971633035664
12,18,343.428980476494
12,19,326.538860684809
13,0,246.85819233579
13,1,280.15004202116
13,2,310.136410715175
13,3,306.730600232131
13,4,375.815371914777
13,5,418.077868642378
13,6,392.973616792856
13,7,306.876050094517
13,8,248.492201347571
13,9,266.672269586949
13,10,304.39533030047
13,11,328.954237528019
13,12,393.059842889637
13,13,452.376260020454
13,14,484.610136982243
13,15,382.959955084839
13,16,331.776509711042
13,17,321.836025851386
13,18,343.431806850069
13,19,409.808298307865
14,0,345.626777891369
14,1,386.132623920979
14,2,375.224912070947
14,3,354.856620513975
14,4,460.232746616838
14,5,507.128349069418
14,6,465.028995444163
14,7,306.762348731722
14,8,243.920145888238
14,9,230.167634057242
14,10,253.144116023522
14,11,330.662288329918
14,12,493.460505045817
14,13,461.842575403
14,14,408.30021477427
14,15,369.70643104178
14,16,323.911272120617
14,17,305.545494399695
14,18,326.407138385458
