"","PC1","PC2","PC3","PC4"
"distance",0.762358566609464,-0.260991693298744,0.200656405132039,0.557162237616392
"entropy",0.601306167355116,0.181706245959277,0.0958379422351422,-0.772158547261002
"moran",0.0311129390452153,0.912155429075071,0.30114271129527,0.276256268103684
"slope",0.237217819823539,0.258531718397015,-0.927289147645628,0.130475642169329
